detector,n_pairs,min,max,median,mean
mtcnn,45,0.458976,0.807029,0.616272,0.617641
opencv,45,0.041547,0.801841,0.24328,0.355912
retinaface,45,0.434882,0.815596,0.625015,0.6203
ssd,45,0.37284,0.818009,0.621099,0.602548
yunet,45,0.411777,0.781309,0.614434,0.616929
ALL,225,0.041547,0.818009,0.606555,0.562666
