detector,n_pairs,min,max,median,mean
dlib,45,0.457595,0.814955,0.663818,0.667101
fastmtcnn,45,0.457595,0.814955,0.663818,0.667101
mediapipe,45,0.457595,0.814955,0.663818,0.667101
mtcnn,45,0.337111,0.807578,0.622607,0.60986
opencv,45,-0.010299,0.982527,0.52859,0.407178
retinaface,45,0.338221,0.796809,0.656769,0.640401
ssd,45,0.189125,0.816938,0.647838,0.59077
yolov8,45,0.457595,0.814955,0.663818,0.667101
yunet,45,0.329299,0.785112,0.6177,0.604818
ALL,405,-0.010299,0.982527,0.637736,0.613492
