detector,n_pairs,min,max,median,mean
mtcnn,45,0.690166,0.891118,0.824855,0.812852
opencv,45,-0.018322,0.877352,0.465551,0.466779
retinaface,45,0.694297,0.902437,0.78896,0.790608
ssd,45,0.560398,0.879509,0.806465,0.777068
yunet,45,0.620281,0.897279,0.789738,0.782933
ALL,225,-0.018322,0.902437,0.78896,0.726048
