detector,n_pairs,min,max,median,mean
mtcnn,45,0.543492,0.8618,0.719405,0.718952
opencv,45,0.018622,0.827296,0.371231,0.416827
retinaface,45,0.509247,0.866338,0.733805,0.725383
ssd,45,0.502656,0.855776,0.728128,0.714792
yunet,45,0.509989,0.85333,0.719205,0.703353
ALL,225,0.018622,0.866338,0.704147,0.655861
