img1,img2,cos
20251020_215553.jpg,20251020_215558.jpg,0.2766246199607849
20251020_215553.jpg,20251020_215602.jpg,0.662238359451294
20251020_215553.jpg,20251020_215605.jpg,0.827296257019043
20251020_215553.jpg,20251020_215608.jpg,0.07774251699447632
20251020_215553.jpg,20251020_215612.jpg,0.7948365211486816
20251020_215553.jpg,20251020_215615.jpg,0.46968427300453186
20251020_215553.jpg,20251020_215619.jpg,0.7655404806137085
20251020_215553.jpg,20251020_215624.jpg,0.06978169083595276
20251020_215553.jpg,20251020_215631.jpg,0.6110895872116089
20251020_215558.jpg,20251020_215602.jpg,0.2712850272655487
20251020_215558.jpg,20251020_215605.jpg,0.35134008526802063
20251020_215558.jpg,20251020_215608.jpg,0.3113110065460205
20251020_215558.jpg,20251020_215612.jpg,0.343169629573822
20251020_215558.jpg,20251020_215615.jpg,0.4633760452270508
20251020_215558.jpg,20251020_215619.jpg,0.25861525535583496
20251020_215558.jpg,20251020_215624.jpg,0.20651447772979736
20251020_215558.jpg,20251020_215631.jpg,0.10015498846769333
20251020_215602.jpg,20251020_215605.jpg,0.5390189290046692
20251020_215602.jpg,20251020_215608.jpg,0.11783882975578308
20251020_215602.jpg,20251020_215612.jpg,0.6831444501876831
20251020_215602.jpg,20251020_215615.jpg,0.698889970779419
20251020_215602.jpg,20251020_215619.jpg,0.6938821077346802
20251020_215602.jpg,20251020_215624.jpg,0.2772403955459595
20251020_215602.jpg,20251020_215631.jpg,0.6016326546669006
20251020_215605.jpg,20251020_215608.jpg,0.051145926117897034
20251020_215605.jpg,20251020_215612.jpg,0.7417130470275879
20251020_215605.jpg,20251020_215615.jpg,0.33012863993644714
20251020_215605.jpg,20251020_215619.jpg,0.6517848968505859
20251020_215605.jpg,20251020_215624.jpg,0.032141540199518204
20251020_215605.jpg,20251020_215631.jpg,0.5834360122680664
20251020_215608.jpg,20251020_215612.jpg,0.12659254670143127
20251020_215608.jpg,20251020_215615.jpg,0.3526001274585724
20251020_215608.jpg,20251020_215619.jpg,0.04974298179149628
20251020_215608.jpg,20251020_215624.jpg,0.7442660927772522
20251020_215608.jpg,20251020_215631.jpg,0.018621984869241714
20251020_215612.jpg,20251020_215615.jpg,0.5906098484992981
20251020_215612.jpg,20251020_215619.jpg,0.7356363534927368
20251020_215612.jpg,20251020_215624.jpg,0.10374999791383743
20251020_215612.jpg,20251020_215631.jpg,0.639620304107666
20251020_215615.jpg,20251020_215619.jpg,0.5947985053062439
20251020_215615.jpg,20251020_215624.jpg,0.4808555245399475
20251020_215615.jpg,20251020_215631.jpg,0.3712309002876282
20251020_215619.jpg,20251020_215624.jpg,0.1898762285709381
20251020_215619.jpg,20251020_215631.jpg,0.728447675704956
20251020_215624.jpg,20251020_215631.jpg,0.16795597970485687
