detector,n_pairs,min,max,median,mean
mtcnn,45,0.141664,0.774907,0.495016,0.488288
opencv,45,-0.105578,0.782098,0.228834,0.338242
retinaface,45,0.211899,0.736089,0.514576,0.498237
ssd,45,0.107564,0.743711,0.425248,0.421162
yunet,45,0.113906,0.761082,0.421732,0.419533
ALL,225,-0.105578,0.782098,0.458113,0.433092
