img1,img2,cos
20251020_215553.jpg,20251020_215558.jpg,0.7972133159637451
20251020_215553.jpg,20251020_215602.jpg,0.7269054651260376
20251020_215553.jpg,20251020_215605.jpg,0.783403754234314
20251020_215553.jpg,20251020_215608.jpg,0.6767967939376831
20251020_215553.jpg,20251020_215612.jpg,0.7355329990386963
20251020_215553.jpg,20251020_215615.jpg,0.613761305809021
20251020_215553.jpg,20251020_215619.jpg,0.6137602925300598
20251020_215553.jpg,20251020_215624.jpg,0.5235379934310913
20251020_215553.jpg,20251020_215631.jpg,0.4967727065086365
20251020_215558.jpg,20251020_215602.jpg,0.7468949556350708
20251020_215558.jpg,20251020_215605.jpg,0.7559428215026855
20251020_215558.jpg,20251020_215608.jpg,0.7715076208114624
20251020_215558.jpg,20251020_215612.jpg,0.7677462100982666
20251020_215558.jpg,20251020_215615.jpg,0.6716182231903076
20251020_215558.jpg,20251020_215619.jpg,0.6302951574325562
20251020_215558.jpg,20251020_215624.jpg,0.5385433435440063
20251020_215558.jpg,20251020_215631.jpg,0.4494134783744812
20251020_215602.jpg,20251020_215605.jpg,0.8792290091514587
20251020_215602.jpg,20251020_215608.jpg,0.7101751565933228
20251020_215602.jpg,20251020_215612.jpg,0.6191467046737671
20251020_215602.jpg,20251020_215615.jpg,0.8971077799797058
20251020_215602.jpg,20251020_215619.jpg,0.6352663040161133
20251020_215602.jpg,20251020_215624.jpg,0.49983206391334534
20251020_215602.jpg,20251020_215631.jpg,0.5539454221725464
20251020_215605.jpg,20251020_215608.jpg,0.7201467156410217
20251020_215605.jpg,20251020_215612.jpg,0.618026614189148
20251020_215605.jpg,20251020_215615.jpg,0.8450288772583008
20251020_215605.jpg,20251020_215619.jpg,0.6904829740524292
20251020_215605.jpg,20251020_215624.jpg,0.5971477627754211
20251020_215605.jpg,20251020_215631.jpg,0.7194665670394897
20251020_215608.jpg,20251020_215612.jpg,0.7005177736282349
20251020_215608.jpg,20251020_215615.jpg,0.5747833847999573
20251020_215608.jpg,20251020_215619.jpg,0.4064151346683502
20251020_215608.jpg,20251020_215624.jpg,0.6434037685394287
20251020_215608.jpg,20251020_215631.jpg,0.5250431299209595
20251020_215612.jpg,20251020_215615.jpg,0.5068352818489075
20251020_215612.jpg,20251020_215619.jpg,0.6472272872924805
20251020_215612.jpg,20251020_215624.jpg,0.683082103729248
20251020_215612.jpg,20251020_215631.jpg,0.572589635848999
20251020_215615.jpg,20251020_215619.jpg,0.7320795655250549
20251020_215615.jpg,20251020_215624.jpg,0.47387567162513733
20251020_215615.jpg,20251020_215631.jpg,0.5196916460990906
20251020_215619.jpg,20251020_215624.jpg,0.3396896421909332
20251020_215619.jpg,20251020_215631.jpg,0.40335530042648315
20251020_215624.jpg,20251020_215631.jpg,0.8081046938896179
