img1,img2,cos
20251020_215553.jpg,20251020_215558.jpg,0.7357381582260132
20251020_215553.jpg,20251020_215602.jpg,0.6862624287605286
20251020_215553.jpg,20251020_215605.jpg,0.6480321884155273
20251020_215553.jpg,20251020_215608.jpg,0.4735596776008606
20251020_215553.jpg,20251020_215612.jpg,0.8242886662483215
20251020_215553.jpg,20251020_215615.jpg,0.7021607160568237
20251020_215553.jpg,20251020_215619.jpg,0.7841107249259949
20251020_215553.jpg,20251020_215624.jpg,0.6975550651550293
20251020_215553.jpg,20251020_215631.jpg,0.32950860261917114
20251020_215558.jpg,20251020_215602.jpg,0.7933050394058228
20251020_215558.jpg,20251020_215605.jpg,0.893700361251831
20251020_215558.jpg,20251020_215608.jpg,0.7218297719955444
20251020_215558.jpg,20251020_215612.jpg,0.8135303258895874
20251020_215558.jpg,20251020_215615.jpg,0.7603079676628113
20251020_215558.jpg,20251020_215619.jpg,0.6969187259674072
20251020_215558.jpg,20251020_215624.jpg,0.7198573350906372
20251020_215558.jpg,20251020_215631.jpg,0.21379710733890533
20251020_215602.jpg,20251020_215605.jpg,0.8007758855819702
20251020_215602.jpg,20251020_215608.jpg,0.5323507785797119
20251020_215602.jpg,20251020_215612.jpg,0.5740854740142822
20251020_215602.jpg,20251020_215615.jpg,0.8654570579528809
20251020_215602.jpg,20251020_215619.jpg,0.844563901424408
20251020_215602.jpg,20251020_215624.jpg,0.8015984296798706
20251020_215602.jpg,20251020_215631.jpg,0.17824727296829224
20251020_215605.jpg,20251020_215608.jpg,0.740882158279419
20251020_215605.jpg,20251020_215612.jpg,0.7789309620857239
20251020_215605.jpg,20251020_215615.jpg,0.8202832937240601
20251020_215605.jpg,20251020_215619.jpg,0.663256049156189
20251020_215605.jpg,20251020_215624.jpg,0.6871921420097351
20251020_215605.jpg,20251020_215631.jpg,0.371675580739975
20251020_215608.jpg,20251020_215612.jpg,0.5930402278900146
20251020_215608.jpg,20251020_215615.jpg,0.5105720162391663
20251020_215608.jpg,20251020_215619.jpg,0.3971666097640991
20251020_215608.jpg,20251020_215624.jpg,0.4523032605648041
20251020_215608.jpg,20251020_215631.jpg,0.21093875169754028
20251020_215612.jpg,20251020_215615.jpg,0.6602354645729065
20251020_215612.jpg,20251020_215619.jpg,0.6392945051193237
20251020_215612.jpg,20251020_215624.jpg,0.6135515570640564
20251020_215612.jpg,20251020_215631.jpg,0.5948183536529541
20251020_215615.jpg,20251020_215619.jpg,0.7524573802947998
20251020_215615.jpg,20251020_215624.jpg,0.8079673647880554
20251020_215615.jpg,20251020_215631.jpg,0.27857255935668945
20251020_215619.jpg,20251020_215624.jpg,0.753869891166687
20251020_215619.jpg,20251020_215631.jpg,0.2535967230796814
20251020_215624.jpg,20251020_215631.jpg,0.3227093517780304
