detector,n_pairs,min,max,median,mean
mtcnn,45,0.105424,0.908285,0.664707,0.609058
opencv,45,0.119477,0.911605,0.516504,0.51105
retinaface,45,0.267456,0.899964,0.6021,0.619116
ssd,45,0.178247,0.8937,0.687192,0.622108
yunet,45,0.33969,0.897108,0.643404,0.640474
ALL,225,0.105424,0.911605,0.644237,0.600361
