img1,img2,cos
20251020_215553.jpg,20251020_215558.jpg,0.8484076857566833
20251020_215553.jpg,20251020_215602.jpg,0.9379678964614868
20251020_215553.jpg,20251020_215605.jpg,0.9785436391830444
20251020_215553.jpg,20251020_215608.jpg,0.9274855256080627
20251020_215553.jpg,20251020_215612.jpg,0.9665951728820801
20251020_215553.jpg,20251020_215615.jpg,0.9403294920921326
20251020_215553.jpg,20251020_215619.jpg,0.9865701198577881
20251020_215553.jpg,20251020_215624.jpg,0.9153100848197937
20251020_215553.jpg,20251020_215631.jpg,0.952364981174469
20251020_215558.jpg,20251020_215602.jpg,0.7386701107025146
20251020_215558.jpg,20251020_215605.jpg,0.8006433844566345
20251020_215558.jpg,20251020_215608.jpg,0.8257805109024048
20251020_215558.jpg,20251020_215612.jpg,0.8224380016326904
20251020_215558.jpg,20251020_215615.jpg,0.7385616302490234
20251020_215558.jpg,20251020_215619.jpg,0.8249694108963013
20251020_215558.jpg,20251020_215624.jpg,0.7587988972663879
20251020_215558.jpg,20251020_215631.jpg,0.7569924592971802
20251020_215602.jpg,20251020_215605.jpg,0.9693266749382019
20251020_215602.jpg,20251020_215608.jpg,0.9095301032066345
20251020_215602.jpg,20251020_215612.jpg,0.9151359796524048
20251020_215602.jpg,20251020_215615.jpg,0.9957371950149536
20251020_215602.jpg,20251020_215619.jpg,0.9558361768722534
20251020_215602.jpg,20251020_215624.jpg,0.959416925907135
20251020_215602.jpg,20251020_215631.jpg,0.965027928352356
20251020_215605.jpg,20251020_215608.jpg,0.9218859672546387
20251020_215605.jpg,20251020_215612.jpg,0.9470874667167664
20251020_215605.jpg,20251020_215615.jpg,0.9691607356071472
20251020_215605.jpg,20251020_215619.jpg,0.9826111793518066
20251020_215605.jpg,20251020_215624.jpg,0.9308614134788513
20251020_215605.jpg,20251020_215631.jpg,0.9741406440734863
20251020_215608.jpg,20251020_215612.jpg,0.9211241006851196
20251020_215608.jpg,20251020_215615.jpg,0.9195423126220703
20251020_215608.jpg,20251020_215619.jpg,0.922782301902771
20251020_215608.jpg,20251020_215624.jpg,0.9247869253158569
20251020_215608.jpg,20251020_215631.jpg,0.9405501484870911
20251020_215612.jpg,20251020_215615.jpg,0.9258136749267578
20251020_215612.jpg,20251020_215619.jpg,0.9684740304946899
20251020_215612.jpg,20251020_215624.jpg,0.8986067771911621
20251020_215612.jpg,20251020_215631.jpg,0.9331634640693665
20251020_215615.jpg,20251020_215619.jpg,0.9607759118080139
20251020_215615.jpg,20251020_215624.jpg,0.9620238542556763
20251020_215615.jpg,20251020_215631.jpg,0.9676670432090759
20251020_215619.jpg,20251020_215624.jpg,0.9235244989395142
20251020_215619.jpg,20251020_215631.jpg,0.9540992975234985
20251020_215624.jpg,20251020_215631.jpg,0.9473000764846802
